CALL_CENTER_ID,DAILY_CALLS,MONTHLY_CALLS,CALL_TARGET,REASON,MONTHS_CUSTOMER,NEGATIVE_RATING,DAYS_PROD_OUT_OF_SERVICE,PRODUCT_AGE,CALL_INQUIRIES,NUM_CALLERS,CALL_TIME,PRODUCT_TYPE,FEEDBACK,Sentiment,RESPONSE_DATE,ACTION
454404,157,461.0,679.0,ProdFailure,6.0,0.0,0.0,155.75478909999995,2.0,12.0,28.79791858,Laptop,Then I had to continue pairing it periodically since it somehow kept dropping.,0,2020-03-03,Contact Account Managment
975490,203,900.0,1292.0,ProdFailure,13.0,0.0,0.0,134.94259730000002,0.0,25.0,30.23655406,Laptop,The design is very good.4.,1,2020-03-03,Contact Account Managment
403549,94,537.0,760.0,ProdGlitch,12.0,2.0,0.0,244.1166529,2.0,29.0,33.37457063,Software,Works fine.,1,2020-03-03,Contact Account Managment
783689,92,481.0,623.0,ProdFailure,15.0,0.0,4.0,219.657131,0.0,36.0,27.61706343,Other,Not as good as I had hoped.,0,2020-03-03,Contact Account Managment
782152,346,1699.0,2247.0,ProdFailure,2.0,0.0,0.0,182.0684611,2.0,21.0,32.71020486,Desktop,Warning - Stay away.,0,2020-03-03,Contact Account Managment
337904,259,806.0,1223.0,ProdFailure,10.0,0.0,1.0,133.669494,0.0,18.0,26.57393079,Laptop,They keep getting better and better (this is my third one and I've had numerous Palms too).,1,2020-03-03,Contact Account Managment
358007,167,311.0,604.0,ProdFailure,14.0,0.0,0.0,105.1332711,0.0,18.0,39.1229968,Other,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I",0,2020-03-03,Contact Account Managment
794658,65,136.0,0.0,ProdGlitch,14.0,2.0,5.0,115.3666667,1.0,16.0,0.0,Other,Don't waste your money!.,0,2020-03-03,Contact Account Managment
512196,120,505.0,701.0,ProdGlitch,0.0,0.0,2.0,206.31923380000003,1.0,12.0,29.84313667,Other,It's A PIECE OF CRAP!,0,2020-03-03,Contact Account Managment
119573,185,263.0,855.0,ProdFailure,7.0,0.0,0.0,152.0406589,1.0,21.0,27.35620808,Laptop,"I had ordered a motorola data cable, got a very well finished and working product.",1,2020-03-03,Contact Account Managment
545941,160,744.0,1032.0,ProdFailure,6.0,3.0,0.0,72.86459040000003,1.0,21.0,24.93522997,Other,"Bought mainly for the charger, which broke soon after purchasing.",0,2020-03-03,Contact Account Managment
